date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:21:45	70977/70977	---M--	200	added ('OK')	image/png	etag:%2211541-5bfeeec63e180%22	https://mapus.io/wp-content/uploads/elementor/thumbs/Skaermbillede-2021-03-08-kl.-14.48.19-p3x2hu2ebejz8qup0ifcjtt1ihhbr7v5tosoj9a7h8.png	C:/Users/NGHIATHE/Documents/Code/Survey/mapus.io/wp-content/uploads/elementor/thumbs/Skaermbillede-2021-03-08-kl.-14.48.19-p3x2hu2ebejz8qup0ifcjtt1ihhbr7v5tosoj9a7h8.png	(from https://mapus.io/)
16:21:45	102246/102246	---MC-	200	added ('OK')	text/html	date:Wed,%2015%20Jan%202025%2009:21:40%20GMT	https://mapus.io/solutions/solutions-for-private-enterprise/	C:/Users/NGHIATHE/Documents/Code/Survey/mapus.io/solutions/solutions-for-private-enterprise/index.html	(from https://mapus.io/)
16:21:47	129720/129720	---M--	200	added ('OK')	image/png	etag:%221fab8-5c4def09ba6b3%22	https://mapus.io/wp-content/uploads/2021/06/reference-banner.png	C:/Users/NGHIATHE/Documents/Code/Survey/mapus.io/wp-content/uploads/2021/06/reference-banner.png	(from https://mapus.io/)
16:21:47	76720/76720	---MC-	200	added ('OK')	text/html	date:Wed,%2015%20Jan%202025%2009:21:41%20GMT	https://mapus.io/pricing/	C:/Users/NGHIATHE/Documents/Code/Survey/mapus.io/pricing/index.html	(from https://mapus.io/)
16:21:47	101655/101655	---MC-	200	added ('OK')	text/html	date:Wed,%2015%20Jan%202025%2009:21:41%20GMT	https://mapus.io/knowledge-base/	C:/Users/NGHIATHE/Documents/Code/Survey/mapus.io/knowledge-base/index.html	(from https://mapus.io/)
16:21:48	99668/99668	---MC-	200	added ('OK')	text/html	date:Wed,%2015%20Jan%202025%2009:21:42%20GMT	https://mapus.io/knowledge-base/getting-started-digital-transformation/	C:/Users/NGHIATHE/Documents/Code/Survey/mapus.io/knowledge-base/getting-started-digital-transformation/index.html	(from https://mapus.io/)
16:21:49	25949/25949	---M--	200	added ('OK')	image/png	etag:%22655d-5b9cb3c072850%22	https://mapus.io/wp-content/uploads/2020/11/cropped-cropped-cropped-digitale_kompetencehjul_medium-150x150.png	C:/Users/NGHIATHE/Documents/Code/Survey/mapus.io/wp-content/uploads/2020/11/cropped-cropped-cropped-digitale_kompetencehjul_medium-150x150.png	(from https://mapus.io/)
16:21:49	95910/95910	---MC-	200	added ('OK')	text/html	date:Wed,%2015%20Jan%202025%2009:21:44%20GMT	https://mapus.io/knowledge-base/survey-building/	C:/Users/NGHIATHE/Documents/Code/Survey/mapus.io/knowledge-base/survey-building/index.html	(from https://mapus.io/)
16:21:50	0/0	---M--	200	added ('OK')	text/javascript	etag:%220-62b8252bf32f8%22	https://mapus.io/wp-content/plugins/essential-blocks/assets/js/eb-blocks-localize.js?ver=31d6cfe0d16ae931b73c	C:/Users/NGHIATHE/Documents/Code/Survey/mapus.io/wp-content/plugins/essential-blocks/assets/js/eb-blocks-localized363.js	(from https://mapus.io/)
16:21:54	84898/84898	---MC-	200	added ('OK')	text/html	date:Wed,%2015%20Jan%202025%2009:21:45%20GMT	https://mapus.io/knowledge-base/advanced-functions/	C:/Users/NGHIATHE/Documents/Code/Survey/mapus.io/knowledge-base/advanced-functions/index.html	(from https://mapus.io/)
